order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,traffic_avoidance
ORD000001,16.0,Taccos,01-31-24,01-31-24,2.17,42.21,Bike,Medium,Snowy,17.15,Route_4,CUST000001,32,Female,Hyderabad,46,4,American,Monthly,Yes,Hot,5,1,Fair,3,False,False,Bike-friendly,0.801290892,Yes
ORD000002,30.0,Briyani rice,10-16-24,10-16-24,13.4,24.82,Car,High,Sunny,16.04,Route_2,CUST000002,59,Male,Lucknow,19,1,Asian,Weekly,No,Warm,3,2,Fair,5,False,False,Bike-friendly,0.645794959,No
ORD000003,3.0,Pasta,09-11-24,09-11-24,10.74,37.25,Walk,High,Snowy,9.09,Route_3,CUST000003,20,Male,Chennai,10,5,Mexican,Monthly,Yes,Warm,4,5,Good,5,True,False,Bike-friendly,0.291193249,No
ORD000004,93.0,Whole cake,09-17-24,09-17-24,6.29,49.88,Bike,High,Snowy,-2.11,Route_5,CUST000004,31,Male,Bangalore,6,4,American,Monthly,Yes,Cold,2,3,Poor,4,False,False,Car-only,0.133826998,No
ORD000005,15.0,Sushi,08-26-24,08-26-24,2.94,8.53,Walk,Low,Sunny,12.2,Route_5,CUST000005,27,Other,Ahmedabad,24,3,Asian,Weekly,Yes,Cold,4,5,Good,1,False,True,Car-only,0.349233123,No
ORD000006,63.0,Salad,03-30-24,03-30-24,12.42,18.08,Bike,High,Rainy,-0.34,Route_1,CUST000006,53,Female,Hyderabad,30,1,Mexican,Weekly,No,Warm,3,1,Good,2,False,False,Mixed,0.307103651,No
ORD000007,21.0,Taccos,10-14-24,10-14-24,8.83,38.47,Car,Low,Snowy,0.35,Route_3,CUST000007,39,Male,Bangalore,31,2,American,Weekly,Yes,Warm,3,5,Fair,5,False,False,Mixed,0.522897967,No
ORD000008,80.0,Burritos,04-02-24,04-02-24,7.12,25.68,Car,Low,Sunny,-1.31,Route_3,CUST000008,30,Female,Pune,25,1,Mediterranean,Monthly,Yes,Hot,5,5,Fair,5,True,True,Car-only,0.530744341,No
ORD000009,100.0,Briyani rice,12-03-24,12-03-24,7.7,43.09,Car,Low,Snowy,15.55,Route_3,CUST000009,46,Female,Mumbai,11,4,American,Monthly,No,Hot,1,5,Good,2,True,False,Bike-friendly,0.83727422,Yes
ORD000010,30.0,Chicken wings,03-01-24,03-01-24,12.31,21.94,Car,Low,Sunny,9.38,Route_3,CUST000010,43,Other,Hyderabad,43,1,Asian,Monthly,No,Cold,4,4,Good,2,False,False,Mixed,0.648917112,No
ORD000011,21.0,Soup,07-08-24,07-08-24,14.22,5.45,Walk,Medium,Rainy,-1.25,Route_2,CUST000011,35,Male,Mumbai,30,4,American,Monthly,Yes,Cold,4,2,Fair,5,False,True,Mixed,0.901672853,Yes
ORD000012,57.0,Pasta,01-27-24,01-27-24,3.16,23.95,Bike,Low,Rainy,4.98,Route_5,CUST000012,20,Female,Kolkata,30,5,Mexican,Weekly,Yes,Cold,5,5,Good,1,True,True,Mixed,0.122232241,No
ORD000013,80.0,Beef pie,08-02-24,08-02-24,3.98,42.35,Car,Medium,Rainy,1.6,Route_2,CUST000013,32,Female,Mumbai,15,1,American,Monthly,No,Cold,4,5,Fair,4,True,True,Mixed,0.220498476,No
ORD000014,50.0,CoffeeBoba tea,03-20-24,03-20-24,4.99,13.76,Car,High,Sunny,12.49,Route_2,CUST000014,23,Male,Pune,12,5,American,Weekly,No,Hot,1,5,Fair,4,True,True,Car-only,0.865773793,Yes
ORD000015,42.0,Cookie,04-27-24,04-27-24,9.4,10.31,Car,Medium,Rainy,3.35,Route_4,CUST000015,49,Other,Ahmedabad,43,5,Mediterranean,Weekly,Yes,Hot,1,5,Poor,2,False,True,Car-only,0.318352252,No
ORD000016,45.0,Pasta,04-20-24,04-20-24,4.93,5.39,Walk,High,Sunny,14.05,Route_1,CUST000016,18,Other,Delhi,38,1,Italian,Weekly,Yes,Cold,4,1,Fair,5,False,True,Bike-friendly,0.871167289,Yes
ORD000017,34.0,Pasta,08-05-24,08-05-24,3.77,8.48,Car,High,Rainy,19.18,Route_1,CUST000017,36,Other,Mumbai,37,4,Asian,Weekly,No,Hot,5,5,Fair,1,True,True,Car-only,0.726597314,No
ORD000018,42.0,Pasta,11-02-24,11-02-24,3.31,46.15,Car,Low,Snowy,0.6,Route_4,CUST000018,20,Female,Jaipur,48,2,Mexican,Weekly,Yes,Warm,5,2,Fair,3,False,True,Mixed,0.94924454,Yes
ORD000019,72.0,Chicken pie,10-17-24,10-17-24,7.3,21.11,Walk,Low,Sunny,13.22,Route_5,CUST000019,37,Other,Chennai,39,5,Italian,Monthly,Yes,Warm,1,3,Poor,1,True,True,Car-only,0.052123084,No
